Accessori,complemento;ornamento;decorazione,accessory;clothing accessory
ospedale,policlinico;casa di cura;clinica,hospital;treatment center
Ospitalità,accoglienza,hospitality;hosting
Ottica,fisica delle radiazioni luminose,Optics;ocular;of the vision;visual
packaging,unità;pacchetto;assortimento,packaging;unit;ensemble;assortment
paziente,ricoverato;degente;mutuato,patient;receiving medical treatment
Pelletteria,industria delle pelli;conceria;piccola pelletteria;pelle,leather industry;leather
personale,staff;risorse umane;dipendenti,staff;HR;employee
Produzione,costruzione;fabbricazione ,production;manufacturing
Produzione e distribuzione farmaceutica,Commercio farmaceutico;Fornitura farmaceutica,pharmaceutical delivery;pharmaceutical distribution
Produzione e vendita apparecchiature domestiche,elettrodomestici;vendita elettrodomestici;produzione elettrodomestici;casalinghi,appliance;electrical appliance;home devices
Progettazione,pianificazione;progetto;programmazione,planning;project;plan
proprietà intellettuale,diritto d'autore;copyright;brevetto;licenza,patent;copyright;license
prototipazione,campionatura;modelli;prototipo,prototyping
Purificazione,pulitura;ripulitura;disinfezione;disinfestazione;depurazione;decontaminazione,Purification;cleaning;disinfection;disinfestation;depollution;decontamination;liberation
Qualità,pregio;valore,quality;value
rappresentanti di commercio,venditore;agente,salesman;salesperson;sales representative
Reti,network;Internet;web;online,network;web;internet
reti,network;Internet;web;online,network;web;internet
riabilitazione,fisioterapia;rieducazione;cura;fisioterapia;trattamento,rehabilitation;physical therapy;motor rehabilitation
Ricerca e selezione del personale,assunzioni;risorse umane;contratto lavorativo,staff management;HR;human resources;hiring;staff
Ricerca e Sviluppo,ricerca;innovazione;ricerca scientifica,research and development;R and D;R&D
riciclo dei rifiuti,riciclo;riqualifica dei rifiuti;riuso dei rifiuti;riutilizzo dei rifiuti;recupero dei rifiuti;smaltimento;smaltimento dei rifiuti;smaltimento rifiuti;riciclare,waste recycling;refusal of waste;refurbishment of waste;reuse of waste;recovery of waste;reuse;recover;second-hand
Riduzione emissioni,riduzione inquinamento;green economy,emissions reduction
rifiuti,scoria;spazzatura;immondizia,trash;rubbish;litter;swill;waste;slag;garbage;dirt;refuse
riscaldamento,somministrazione di calore ;aumento di temperatura;infiammazione ;riscaldo;incalorimento,heating;heat;warming;heating-up
Risparmio Energetico,salvaguardia energetica,energy saving
Ristorazione,ristorante,food service;restaurant;food
Robotica,?,Robotic
selezione del personale,assunzioni;risorse umane,staff management;HR;human resources;hiring
Sensoristica,sensori;droni,sensors
Servizi,prestazione,service
Servizi al cittadino,servizi civici,citizen assistance
Servizi di assistenza e monitoraggio del paziente,controllo;sostegno al paziente;aiuto al paziente;visite mediche;ricovero,patient monitoring;patient assistance;patient supervision
servizi digitali,,
sicurezza,garanzia;cautela;affidabilità,Safety;security;safeness
Sicurezza,perizia;attendibilità;garanzia;assicurazione;affidabilità;protezione;tutela;salvaguardia;incolumità,security;safety;insurance;defense;protection;shelter;safeguard;caution;precaution
Sicurezza e servizi per gli edifici,incolumita';salvaguardia;protezione,structure security;building security
Sicurezza e servizi per gli edifici,opere;prestazioni d'opera;perizia;difesa;protezione;tutela;salvaguardia;incolumità,Security and services for buildings;Safety and services for buildings
Sicurezza informatica,,
sistemi di comunicazione,,
Sistemi di controllo e servomeccanismi,,Control systems and servomechanisms
sistemi di precisione,,precision systems
Sistemi IT,IT,It System
Sistemi per la pubblica amministrazione,,
Smart car,auto intelligente;macchina intelligente;auto smart,smart mobility
Smart city,città intelligente;città tecnologica,Smart city;technological city
Social networking,facebook;instagram;twitter;social media;youtube;piattaforme online,
software,programmi;applicativi;applicazioni;pacchetti software,software;program
Software,,
Software di supporto,programmi di supporto;applicativi,Support software;applications;support programs
Software per l’automazione Software per l’automazione industriale e la progettazione industriale,,
Solare,energia solare,Solar power
Soluzioni e mobilità,possibilità di spostamento ;trasferibilità ;motilità,mobility;portability
Soluzioni per Ho.Re.Ca.,,
Sostenibilità,sviluppo sostenibile;impatto ambientale;ecologia,sustainability;renewability
sviluppo software,,
Sviluppo software e sistemistica,,
telecomunicazioni,comunicazione;trasmissione,telecommunications;broadcast
Tessile,industria tessile;tessuti,textile;textile industry 
testing,collaudo;collaudare;controllare;controllo;test,test;try out;check
tracciabilità,tracciabile,traceability;traceable
Trasformazione alimenti,,
Trasmissione;distribuzione e immagazzinamento,,
Trasporti,trasportatore;industria automobilistica;flusso merci;spostamento merce,transport;trasportation;shipping
trattamento delle acque,lavorazione delle acque;processo delle acque;manipolazione delle acque;sistema fognario;acquedotto;bonifica;depurazione delle acque;falde acquifere,water treatment;water processing;water process;water handling;water manipulating;water purification
Turismo,escursionismo;attività turistica;turisti,tourism;travelling;travel
tv,televisione;pubblicità;spot;industria televisiva;satellite,television;advertisement;spot
Utilities,utenze,electricity;gas;water
videogiochi,videogame,computer game;video game;playstation
zootecnia,,zootechnics
